D;L;Media_Geometrica_Ciclos
1;40960;7.114399
4096;40960;32.318703
64;163840;16.347867
8;163840;7.207064
1;163840;7.116733
1;15360;7.104133
64;15360;7.444165
8;15360;7.179812
1;81920;7.116267
512;40960;17.386057
64;1152;7.198300
8;1152;7.162666
1;1152;7.085133
64;40960;8.463547
8;40960;7.211200
4096;81920;32.577793
64;10240;7.384294
8;10240;7.141133
4096;1152;18.864945
1;10240;7.099433
4096;10240;31.452918
512;81920;17.566163
512;10240;16.123348
64;81920;14.544342
8;81920;7.198165
1;384;7.079267
4096;15360;31.880445
512;1152;7.812936
64;384;7.214566
8;384;7.116998
4096;384;7.529159
512;384;7.992596
4096;163840;32.616887
512;163840;17.560171
512;15360;17.536295
