D;L;Media_Geometrica_Ciclos
1;40960;6.794266
4096;40960;25.076833
64;163840;15.502928
8;163840;6.875567
1;163840;6.787533
1;15360;6.787633
64;15360;7.506837
8;15360;6.866630
1;81920;6.783867
512;40960;15.607153
64;1152;7.215100
8;1152;6.842900
1;1152;6.775892
64;40960;7.489580
8;40960;6.872230
4096;81920;25.176699
64;10240;7.500428
8;10240;6.838090
4096;1152;7.542433
1;10240;6.783000
4096;10240;23.821695
512;81920;16.226762
512;10240;8.210518
64;81920;8.363505
8;81920;6.874266
1;384;6.753866
4096;15360;24.278197
512;1152;7.565996
64;384;7.252598
8;384;6.780831
4096;384;7.547027
512;384;7.254687
4096;163840;25.344146
512;163840;16.658473
512;15360;13.166212
